"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.26104997053988,1.25293820754928,1.26921143992146
"PoissonBlackTotalModel",1.21619973695148,1.20350351470313,1.22902617184867
"PoissonHispanicTotalModel",1.26917031908413,1.25570725164022,1.28276955619626
"PoissonWhiteTotalModel",1.26105387905247,1.24875137040705,1.27346900249615
"PoissonPedsModel",1.25341588572127,1.24145568759166,1.26548527812734
"PoissonBlackPedsModel",1.19666946736565,1.17719555267794,1.21645953266064
"PoissonHispanicPedsModel",1.27691991528709,1.25862916573624,1.29546192053992
"PoissonWhitePedsModel",1.28599281816778,1.26762249861571,1.30461197506768
"PoissonAdultModel",1.25915144740517,1.24811347217369,1.27028189887425
"PoissonBlackAdultModel",1.22982471992784,1.2129304943882,1.24694757424826
"PoissonHispanicAdultModel",1.24593068497243,1.22618264578872,1.26597791929568
"PoissonWhiteAdultModel",1.21982361314363,1.20340239663096,1.23645220645718
