"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.16572504424151,1.16049953745981,1.17097383390946
"PoissonBlackTotalModel",1.15545503741812,1.14658418297123,1.1643959997788
"PoissonHispanicTotalModel",1.16849715069331,1.15982673670992,1.17723203632303
"PoissonWhiteTotalModel",1.10111199079485,1.09047316871309,1.1118488398082
"PoissonPedsModel",1.13995261875452,1.13255166187591,1.14740163263961
"PoissonBlackPedsModel",1.08324463784578,1.07075594587745,1.09588346706091
"PoissonHispanicPedsModel",1.16677803516324,1.15520619775081,1.17846576027989
"PoissonWhitePedsModel",1.06100051597985,1.04438781332065,1.07786290781291
"PoissonAdultModel",1.17251853690494,1.16526507792437,1.17981660764914
"PoissonBlackAdultModel",1.17515319242724,1.16312104526973,1.18731227648215
"PoissonHispanicAdultModel",1.14932398652347,1.13650182730343,1.16228945302376
"PoissonWhiteAdultModel",1.09785246988567,1.08441976239412,1.1114428898529
