"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.1741704670808,1.1689809517868,1.17938264744577
"PoissonBlackTotalModel",1.18852470179036,1.17958174723977,1.19753767975595
"PoissonHispanicTotalModel",1.19187593739244,1.18312749491406,1.20068778762135
"PoissonWhiteTotalModel",1.10710658506051,1.09656239436744,1.11774544380378
"PoissonPedsModel",1.14191966659599,1.13460503833521,1.14928090391728
"PoissonBlackPedsModel",1.12088327327411,1.10829520272253,1.13362055335032
"PoissonHispanicPedsModel",1.1886621918932,1.17701523774829,1.20042265281077
"PoissonWhitePedsModel",1.06160891540479,1.04516267069333,1.07829775836619
"PoissonAdultModel",1.19100197117299,1.18372267059848,1.19832522870947
"PoissonBlackAdultModel",1.21349273760663,1.20124597456102,1.225868221122
"PoissonHispanicAdultModel",1.18219251157142,1.1690909206988,1.19543747312995
"PoissonWhiteAdultModel",1.11342288187756,1.10000423793528,1.12699444621749
