"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.17933483707896,1.17414192444482,1.18455050758125
"PoissonBlackTotalModel",1.12600990350714,1.11746349839982,1.13462293629138
"PoissonHispanicTotalModel",1.19524836466668,1.18656277289249,1.20399751740122
"PoissonWhiteTotalModel",1.11805369593844,1.1074377940218,1.12876556369497
"PoissonPedsModel",1.16192934831066,1.15451966727557,1.1693861722749
"PoissonBlackPedsModel",1.0544635836814,1.04243221602498,1.06663759313736
"PoissonHispanicPedsModel",1.19860085303054,1.18695015640968,1.2103659998314
"PoissonWhitePedsModel",1.08785222298407,1.07112006331957,1.10483046102846
"PoissonAdultModel",1.18040250189579,1.1732252246981,1.18762327611863
"PoissonBlackAdultModel",1.15616214714677,1.14445190308399,1.16799404835614
"PoissonHispanicAdultModel",1.16776615651748,1.15500982766765,1.1806631164893
"PoissonWhiteAdultModel",1.10495376463109,1.09165934083882,1.1184015728917
