"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.31225312611136,1.30683580152592,1.31769263915994
"PoissonBlackTotalModel",1.10956325968844,1.10153141993475,1.11765495795624
"PoissonHispanicTotalModel",1.20667919882693,1.19825733633195,1.21515975123936
"PoissonWhiteTotalModel",1.10474448718898,1.09476582263496,1.11480692987995
"PoissonPedsModel",1.26347078117085,1.25587849406946,1.27110857501875
"PoissonBlackPedsModel",1.04148228527238,1.03017745636169,1.05291450540532
"PoissonHispanicPedsModel",1.18295872239256,1.1719027206191,1.19411881982156
"PoissonWhitePedsModel",1.05448729356322,1.03900302038921,1.07018368479787
"PoissonAdultModel",1.3219853269559,1.31446834895548,1.3295447219338
"PoissonBlackAdultModel",1.12416272286155,1.11327742951458,1.1351565267014
"PoissonHispanicAdultModel",1.19798895565242,1.18541794380279,1.2106916761121
"PoissonWhiteAdultModel",1.10634136571185,1.09369022025981,1.11912786327391
