"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.47501585524247,1.46954683466932,1.48050422569589
"PoissonBlackTotalModel",1.17177987899671,1.16455420400953,1.17905155560018
"PoissonHispanicTotalModel",1.27589035518925,1.26769082339973,1.28414097818473
"PoissonWhiteTotalModel",1.10532588942732,1.09625705941509,1.11446022924629
"PoissonPedsModel",1.40645360500326,1.39889160213801,1.41405468980768
"PoissonBlackPedsModel",1.10026046389189,1.09008322308461,1.11053454778428
"PoissonHispanicPedsModel",1.26232398186798,1.25152792931636,1.2732100162169
"PoissonWhitePedsModel",1.03573562830299,1.02190676723429,1.04972812568983
"PoissonAdultModel",1.50702676068963,1.49930737770902,1.51478387746821
"PoissonBlackAdultModel",1.20329747394143,1.19326627689684,1.21341574898372
"PoissonHispanicAdultModel",1.26004542883991,1.24776077137235,1.27244637798641
"PoissonWhiteAdultModel",1.14031633670229,1.12843964140409,1.15230236835018
