"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.36724733939593,1.35901688513793,1.37552367865724
"PoissonBlackTotalModel",1.42586878407522,1.41190599763381,1.4399634542602
"PoissonHispanicTotalModel",1.39103600689491,1.3771191812366,1.40508107653117
"PoissonWhiteTotalModel",1.30237363828916,1.28449034697939,1.32047498565463
"PoissonPedsModel",1.32811653637237,1.31631809151195,1.34001257688567
"PoissonBlackPedsModel",1.38390462212492,1.36309826961268,1.40501536010229
"PoissonHispanicPedsModel",1.39208885884177,1.37335685743769,1.41105460011642
"PoissonWhitePedsModel",1.221834218732,1.19335946379624,1.2509070604031
"PoissonAdultModel",1.40776473621586,1.3961973047801,1.4194203951627
"PoissonBlackAdultModel",1.46468830117304,1.44575602066593,1.48385768038056
"PoissonHispanicAdultModel",1.39496003127523,1.3740275097025,1.41618266503179
"PoissonWhiteAdultModel",1.34786984979838,1.3249593858707,1.3711267841744
