"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.33553820132722,1.32721242606302,1.34391271507866
"PoissonBlackTotalModel",1.27417646256975,1.26066480358942,1.28782731706792
"PoissonHispanicTotalModel",1.35729606137531,1.34353174833007,1.37119173982753
"PoissonWhiteTotalModel",1.27443902955325,1.25645969480102,1.29264990483555
"PoissonPedsModel",1.33052938032062,1.31826774863986,1.34289752462161
"PoissonBlackPedsModel",1.21155944760468,1.19151157151335,1.23193544184333
"PoissonHispanicPedsModel",1.38549527824599,1.36649109975849,1.40474569259716
"PoissonWhitePedsModel",1.23808224678062,1.20854786172159,1.26826835642845
"PoissonAdultModel",1.34249122537424,1.33107783933621,1.35399604721722
"PoissonBlackAdultModel",1.32727184287147,1.30882821503818,1.34596434405328
"PoissonHispanicAdultModel",1.31413284166191,1.29428436855841,1.33426515958459
"PoissonWhiteAdultModel",1.27691901558962,1.25454193359831,1.29965660134211
