"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.52776956782567,1.5188804767563,1.53670799474182
"PoissonBlackTotalModel",1.22247197319017,1.21006257035905,1.23500578258411
"PoissonHispanicTotalModel",1.36396754425429,1.35055837449496,1.37750223499884
"PoissonWhiteTotalModel",1.2366018670299,1.21987508167129,1.25353437695588
"PoissonPedsModel",1.46128045964999,1.44857291796863,1.47409406595611
"PoissonBlackPedsModel",1.1500132008097,1.13180373713786,1.16851064141542
"PoissonHispanicPedsModel",1.33468175110123,1.31689160702132,1.35269984977873
"PoissonWhitePedsModel",1.15047344929452,1.12386142139386,1.17765339073917
"PoissonAdultModel",1.5528846530791,1.54063670380568,1.56522504584886
"PoissonBlackAdultModel",1.24940310371624,1.23276336695703,1.26626206342988
"PoissonHispanicAdultModel",1.35864666299689,1.33878171493739,1.37878919496612
"PoissonWhiteAdultModel",1.2598211657865,1.23877021580129,1.28119371969301
