"Name","IRR","ci_lower","ci_upper"
"PoissonTotalModel",1.83374672021143,1.82538742960125,1.84213647253326
"PoissonBlackTotalModel",1.35565229921302,1.34588511759597,1.3654794611103
"PoissonHispanicTotalModel",1.50318474449439,1.4907454209856,1.51571068931749
"PoissonWhiteTotalModel",1.25754905175916,1.24327037881674,1.27195530104251
"PoissonPedsModel",1.74377451464476,1.73207937492813,1.75553241875191
"PoissonBlackPedsModel",1.29422893007526,1.27991535088942,1.30867523522862
"PoissonHispanicPedsModel",1.48829365542139,1.471907599446,1.50483130471963
"PoissonWhitePedsModel",1.12686614346942,1.10526804703376,1.14879161605772
"PoissonAdultModel",1.9091804005203,1.89729561545552,1.92112458949807
"PoissonBlackAdultModel",1.41032934323083,1.39681699289491,1.42395374895466
"PoissonHispanicAdultModel",1.50062011739695,1.48180210258743,1.51963810446847
"PoissonWhiteAdultModel",1.36360328390151,1.34432496194533,1.38309708018237
